,DGS10_z,DGS2_z,BAMLH0A0HYM2_z,FEDFUNDS_z,CPIAUCSL_z,A191RL1Q225SBEA_z,INDPRO_z,PAYEMS_z,CP_z,UMCSENT_z,VXOCLS_z,M2SL_z,USEPUINDXD_z,PNFIC1_z,GDP_z
2002-12-31,,,,,1.5663067277311822,,-0.20510990471332743,-1.3572932991844835,,-0.9120415491382612,0.7406646650304746,1.6440019420244587,1.2277946143614227,,
2003-01-31,,,,,1.7234743958257583,,0.26863271202678896,-1.1933429673678912,,-1.2996183589161097,1.3303337133126847,1.636184187851061,0.12606231161241485,,
2003-02-28,,,,,1.9144031805539494,,0.34982740998978507,-1.3014501659580313,,-1.4935468666886929,0.9925558108729058,1.6392534653422344,1.0962631376690897,,
2003-03-31,,,,,1.8876971257341175,,0.21326765302750364,-1.4522755478872,,-1.6368375618678555,0.8207138783421519,1.6016007488357502,0.6068686017679333,,
2003-04-30,,,,,1.611005822802065,,-0.11337452218322588,-1.4290094911092905,,-0.6992547064152297,-0.7887883206698119,1.6068814655465367,0.19024346080323856,,
2003-05-31,,,,,1.465238586945667,,-0.09080757140595912,-1.3187253139227284,,0.03647703908601086,-1.0981071130493048,1.6725929857290127,-0.6756796126602157,,
2003-06-30,,,,,1.4614748331364977,,0.03856012866971423,-1.2535710219502345,,-0.20150402642644483,-1.104921646018629,1.675961961801351,-0.8213114941032974,,
2003-07-31,,,,,1.5731662800569013,,0.4221575664468408,-1.1842748425536416,,0.007372033703382868,-1.1462047772480863,1.7055754295327736,-0.08567977687038843,,
2003-08-31,,,,,1.7416893894201888,,0.32850810807324266,-1.1499538285425575,,-0.1494117075799423,-1.4368806798348333,1.7594620667947607,-0.49699783818595455,,
2003-09-30,,,,,1.8246516837890943,,0.855883272494345,-0.9884839671186635,,-0.32997730032811484,-0.7317753635584812,1.5974970303492941,-0.6704561495205402,,
2003-10-31,,,,,1.6708994964228816,,1.0190065331155564,-0.7441996394142463,,0.04077530633912974,-1.7062840210989556,1.4970577052508862,-0.8384948470993445,,
2003-11-30,,,,,1.6195860385873762,,1.5881224418170894,-0.6569550433395915,,0.9557385249086423,-1.6498874668890566,1.4474404409809358,-0.16669285970367217,,
2003-12-31,,,,,1.6890748563716698,,1.6441132832757814,-0.4943104143654137,,0.8025289372395714,-1.4323520452522864,1.3823286127375822,-0.8574223338352511,,
2004-01-31,,,,,1.823351627248555,,1.7369027489460565,-0.2507668707823558,,2.804731657545234,-1.4297214096568998,1.3476638081102599,-1.5223798657290175,,
2004-02-29,,,,,1.8222628155707703,,2.065525736578669,-0.11250657668188895,,0.9818834404312407,-1.6350540541326657,1.4041983296800782,-0.7751139878771701,,
2004-03-31,,,,,1.8211374740561952,,1.6766399387395563,0.4154530964739624,,1.199759169070254,-1.2829176131457265,1.4468430901255616,-0.40510564069304217,,
2004-04-30,,,,,1.7904398973235873,,1.8150828877989613,0.9327161621702695,,0.86563252396442,-1.108733613730373,1.4980660209282315,-1.1323449510457007,,
2004-05-31,,,,,1.8833827464580932,,2.102464898409676,1.5224156002149287,,0.14536389036508485,-1.274717211736147,1.6542612421318788,-1.375714541784787,,
2004-06-30,,,,,1.9278220168019036,,1.5036835066590752,1.8114175146499711,,1.1035461257557384,-1.44747565993526,1.5835087802949885,-0.13523113048376076,,
2004-07-31,,,,,1.8447234760516742,,1.8090817643869892,2.0093361021837834,,1.2557018222571452,-1.2096924103052435,1.5523577994120663,-0.6957540689270961,,
2004-08-31,,,,,1.75057722455502,,1.7266136489633688,2.1993120293660966,,1.0754549520387153,-1.1940079482043082,1.5652930370138478,-1.3251604358705615,,
2004-09-30,,,,,1.78129581571969,,1.6780837045098536,2.379238028824359,,0.7342669509580148,-1.308943626926624,1.588016428958364,-1.2458695443881853,,
2004-10-31,,,,,1.903711788398347,,2.028787949809468,2.680777923937732,,0.25096691487816775,-0.8741425932122758,1.595164783940597,0.5040641300109862,,
2004-11-30,,,,,1.9847868020670656,,2.0400490860899327,2.4882877502984573,,0.41404458315553694,-1.187047507235278,1.5968483126207786,-1.068696437921575,,
2004-12-31,,-0.13811317441669235,-1.7844627422148562,-0.33410336636828764,1.8604706543216518,,2.3095460746703527,2.38206533645171,,1.149267168898812,-1.1274970393609358,1.5699943170425485,-1.3397809508772531,,
2005-01-31,,0.01912813117351652,-1.6505767489740129,-0.25413141907003717,1.7304290922900254,,2.3043461973275594,2.312161027884625,,0.8378125732658558,-1.211489837788325,1.5109958573734286,-0.23135435770017743,,
2005-02-28,,0.24048002398355872,-1.8107380370564632,-0.12259907188204684,1.8135957574515074,0.6924186586524018,2.455961752048745,2.339470012407354,1.8904673669479168,0.5646031893603721,-1.208048369073486,1.4627347017853036,-0.9878656073445384,,2.0047817067121794
2005-03-31,,0.4169658659071171,-1.444261797515724,-0.031974643522663264,1.8602970336681708,0.8451344151939011,2.1857513776893205,2.222402885710385,2.8493715764616376,0.3127464528942651,-0.9742102911676191,1.4254338596192033,-0.12710749180964825,,2.2201438383129695
2005-04-30,,0.3753136030953399,-1.1103393595457252,0.07850229890843317,1.8706389753333879,0.819807014702018,2.0994370273596625,2.329348760291343,2.6313580235482443,-0.5504685016613877,-0.7633781723446387,1.409871218374629,1.1924301849560512,,2.116108049886932
2005-05-31,,0.38986477149791937,-1.1107474473400585,0.22304374362653615,1.7335951694065788,0.7950741205339643,1.9734733180296733,2.2383422728760545,2.4509889776318445,-0.6533132381355004,-1.0186326903137988,1.4105329961865147,-0.4491175457299577,,2.024200368601671
