,DGS10_z,DGS2_z,FEDFUNDS_z,CPIAUCSL_z,UNRATE_z,BAMLH0A0HYM2_z,A191RL1Q225SBEA_z,INDPRO_z,PAYEMS_z,CP_z,UMCSENT_z,VIXCLS_z,M2SL_z,USEPUINDXD_z,PNFIC1_z,YC_raw,YC_z,CPI_YoY,CPI_YoY_z,RFF_raw,RFF_z
2000-01-31,,,,,,,,,,,,,,,,0.0699999999999994,,,,,
2000-02-29,,,,,,,,,,,,,,,,-0.11000000000000032,,,,,
2000-03-31,,,,,,,,,,,,,,,,-0.46999999999999975,,,,,
2000-04-30,,,,,,,,,,,,,,,,-0.4499999999999993,,,,,
2000-05-31,,,,,,,,,,,,,,,,-0.40000000000000036,,,,,
2000-06-30,,,,,,,,,,,,,,,,-0.34999999999999964,,,,,
2000-07-31,,,,,,,,,,,,,,,,-0.2599999999999998,,,,,
2000-08-31,,,,,,,,,,,,,,,,-0.4499999999999993,,,,,
2000-09-30,,,,,,,,,,,,,,,,-0.1800000000000006,,,,,
2000-10-31,,,,,,,,,,,,,,,,-0.17000000000000082,,,,,
2000-11-30,,,,,,,,,,,,,,,,-0.1299999999999999,,,,,
2000-12-31,,,,,,,,,,,,,,,,0.009999999999999787,,,,,
2001-01-31,,,,,,,,,,,,,,,,0.5700000000000003,,2.5,,2.258795038393406,
2001-02-28,,,,,,,,,,,,,,,,0.5099999999999998,,2.5,,1.9605882352941082,
2001-03-31,,,,,,,,,,,,,,,,0.75,,2.5,,2.3275438596491353,
2001-04-30,,,,,,,,,,,,,,,,1.0499999999999998,,2.5,,1.5817437097717946,
2001-05-31,,,,,,,,,,,,,,,,1.21,,2.5,,0.6469158878504606,
2001-06-30,,,,,,,,,,,,,,,,1.17,,2.5,,0.7760394889663114,
2001-07-31,,,,,,,,,,,,,,,,1.2800000000000002,,2.5,,1.0485176606832503,
2001-08-31,,,,,,,,,,,,,,,,1.2099999999999995,,2.5,,0.9285176606832501,
2001-09-30,,,,,,,,,,,,,,,,1.7399999999999998,,2.5,,0.4778341013824954,
2001-10-31,,,,,,,,,,,,,,,,1.8599999999999999,,2.127659574468077,,0.36234042553192314,
2001-11-30,,,,,,,,,,,,,,,,1.9400000000000004,,1.894374282433997,,0.19562571756600278,
2001-12-31,,,,,,,,,,,,,,,,2.0000000000000004,,1.603665521191311,,0.21633447880868917,
2002-01-31,,,,,,,,,,,,,,,,1.9100000000000001,,1.1958997722095743,,0.5341002277904257,
2002-02-28,,,,,,,,,,,,,,,,1.8199999999999998,,1.1363636363636465,,0.6036363636363535,
2002-03-31,,,,,,,,,,,,,,,,1.6999999999999997,,1.3628620102214661,,0.36713798977853385,
2002-04-30,,,,,,,,,,,,,,,,1.87,,1.643990929705219,,0.1060090702947809,
2002-05-31,,,,,,,,,,,,,,,,1.8599999999999999,,1.2408347433727984,,0.5091652566272016,
2002-06-30,,,,,,,,,,,,,,,,1.9600000000000004,,1.0692177827799743,,0.6807822172200257,
2002-07-31,,,,,,,,,,,,,,,,2.28,,1.465614430665152,,0.264385569334848,
2002-08-31,,,,,,,,,,,,,,,,1.9999999999999996,,1.747463359639223,,-0.007463359639223066,
2002-09-30,,,,,,,,,,,,,,,,1.91,,1.516002245929271,,0.23399775407072898,
2002-10-31,,,,,,,,,,,,,,,,2.25,,2.0270270270270174,,-0.2770270270270174,
2002-11-30,,,,,,,,,,,,,,,,2.1399999999999997,,2.2535211267605604,,-0.9135211267605603,
2002-12-31,,,,,,,,-0.20510990471332743,-1.3572932991844835,,-0.9120415491382612,0.6955858952465509,1.6440019420244587,1.2277946143614227,,2.2199999999999998,,2.4802705749718212,,-1.2402705749718212,
2003-01-31,,,,,,,,0.26863271202678896,-1.1933429673678912,,-1.2996183589161097,1.1475588949567115,1.636184187851061,0.12606231161241485,,2.2800000000000002,,2.5,,-1.5174563871693991,
2003-02-28,,,,,,,,0.34982740998978507,-1.3014501659580313,,-1.4935468666886929,0.8058405214345989,1.6392534653422344,1.0962631376690897,,2.1799999999999997,,2.5,,-1.8860674157303359,
2003-03-31,,,,,,,,0.21326765302750364,-1.4522755478872,,-1.6368375618678555,0.681352508552641,1.6016007488357502,0.6068686017679333,,2.3200000000000003,,2.5,,-1.775210084033625,
2003-04-30,,,,,,,,-0.11337452218322588,-1.4290094911092905,,-0.6992547064152297,-0.8182139007686943,1.6068814655465367,0.19024346080323856,,2.38,,2.175125488008911,,-0.915125488008911,
2003-05-31,,,,,,,,-0.09080757140595912,-1.3187253139227284,,0.03647703908601086,-1.11035180283108,1.6725929857290127,-0.6756796126602157,,2.04,,1.8941504178273005,,-0.6341504178273005,
2003-06-30,,,,,,,,0.03856012866971423,-1.2535710219502345,,-0.20150402642644483,-1.1007064988006265,1.675961961801351,-0.8213114941032974,,2.2199999999999998,,1.948775055679297,,-0.7287750556792971,
2003-07-31,,,,,,,,0.4221575664468408,-1.1842748425536416,,0.007372033703382868,-1.0926048581695436,1.7055754295327736,-0.08567977687038843,,2.5,,2.055555555555544,,-1.0455555555555438,
2003-08-31,,,,,,,,0.32850810807324266,-1.1499538285425575,,-0.1494117075799423,-1.2802518834405328,1.7594620667947607,-0.49699783818595455,,2.5,,2.216066481994461,,-1.1860664819944609,
2003-09-30,,,,,,,,0.855883272494345,-0.9884839671186635,,-0.32997730032811484,-0.5206306429193001,1.5974970303492941,-0.6704561495205402,,2.46,,2.378318584070782,,-1.368318584070782,
