,DGS10,DGS2,FEDFUNDS,CPIAUCSL,UNRATE,BAMLH0A0HYM2,A191RL1Q225SBEA,INDPRO,PAYEMS,CP,UMCSENT,VIXCLS,M2SL,USEPUINDXD,PNFIC1
2016-04-30,1.83,0.77,0.37,238.992,5.1,6.21,2.3,98.4775,143855.0,1805.898,89.0,15.7,12707.6,45.03,2504.57
2016-05-31,1.84,0.87,0.37,239.557,4.8,5.97,2.3,98.2549,143900.0,1805.898,94.7,14.19,12774.6,48.19,2504.57
2016-06-30,1.49,0.58,0.38,240.222,4.9,6.21,1.3,98.7315,144146.0,1865.417,93.5,15.63,12835.1,96.08,2525.941
2016-07-31,1.46,0.67,0.39,240.101,4.8,5.69,1.3,98.8452,144520.0,1865.417,90.0,11.87,12889.3,117.46,2525.941
2016-08-31,1.58,0.8,0.4,240.545,4.9,5.1,1.3,98.7427,144662.0,1865.417,89.8,13.42,12973.6,45.98,2525.941
2016-09-30,1.6,0.77,0.4,241.176,5.0,4.97,2.9,98.6552,144967.0,1857.546,91.2,13.29,13033.8,34.93,2564.0
2016-10-31,1.84,0.86,0.4,241.741,4.9,4.91,2.9,98.7237,145066.0,1857.546,87.2,17.06,13107.1,95.82,2564.0
2016-11-30,2.37,1.11,0.41,242.026,4.7,4.67,2.9,98.3443,145183.0,1857.546,93.8,13.33,13180.6,63.67,2564.0
2016-12-31,2.45,1.2,0.54,242.637,4.7,4.22,2.2,99.0406,145408.0,1926.839,98.2,14.04,13225.8,127.18,2584.602
2017-01-31,2.45,1.19,0.65,243.618,4.7,4.0,2.2,98.8158,145628.0,1926.839,98.5,11.99,13300.3,139.29,2584.602
2017-02-28,2.36,1.22,0.66,244.006,4.6,3.74,2.2,98.4356,145848.0,1926.839,96.3,12.92,13367.0,114.25,2584.602
2017-03-31,2.4,1.27,0.79,243.892,4.4,3.92,2.0,99.0492,145969.0,2045.666,96.9,12.37,13428.4,221.37,2610.431
2017-04-30,2.29,1.28,0.9,244.193,4.4,3.81,2.0,100.0416,146174.0,2045.666,97.0,10.82,13484.4,224.35,2610.431
2017-05-31,2.21,1.28,0.91,244.004,4.4,3.74,2.0,100.128,146380.0,2045.666,97.1,10.41,13536.4,168.16,2610.431
2017-06-30,2.31,1.38,1.04,244.163,4.3,3.77,2.3,100.337,146583.0,2019.85,95.0,11.18,13558.1,111.89,2639.796
2017-07-31,2.3,1.34,1.15,244.243,4.3,3.61,2.3,100.0865,146772.0,2019.85,93.4,10.26,13615.1,80.96,2639.796
2017-08-31,2.12,1.33,1.16,245.183,4.4,3.85,2.3,99.6323,146919.0,2019.85,96.8,10.59,13674.3,43.34,2639.796
2017-09-30,2.33,1.47,1.15,246.435,4.3,3.56,3.2,99.7482,147007.0,2061.502,95.1,9.51,13722.7,44.96,2665.246
2017-10-31,2.38,1.6,1.15,246.626,4.2,3.51,3.2,100.9893,147150.0,2061.502,100.7,10.18,13782.0,50.39,2665.246
2017-11-30,2.42,1.78,1.16,247.284,4.2,3.61,3.2,101.2493,147373.0,2061.502,98.5,11.28,13814.6,101.48,2665.246
2017-12-31,2.4,1.89,1.3,247.805,4.1,3.63,4.6,101.4871,147523.0,1864.83,95.9,11.04,13873.5,174.9,2728.927
2018-01-31,2.72,2.14,1.41,248.859,4.0,3.29,4.6,101.4852,147660.0,1864.83,95.7,13.54,13882.9,71.84,2728.927
2018-02-28,2.87,2.25,1.42,249.529,4.1,3.47,4.6,101.7319,148054.0,1864.83,99.7,19.85,13919.0,46.68,2728.927
2018-03-31,2.74,2.27,1.51,249.577,4.0,3.72,3.3,102.1943,148280.0,1986.985,101.4,19.97,13975.8,67.64,2805.277
2018-04-30,2.95,2.49,1.69,250.227,4.0,3.46,3.3,103.3551,148422.0,1986.985,98.8,15.93,13993.7,86.67,2805.277
2018-05-31,2.83,2.4,1.7,250.792,3.8,3.63,3.3,102.381,148740.0,1986.985,98.0,15.43,14049.4,77.32,2805.277
2018-06-30,2.85,2.52,1.82,251.018,4.0,3.71,2.1,103.2256,148959.0,2063.283,98.2,16.09,14109.7,114.66,2837.057
2018-07-31,2.96,2.67,1.91,251.214,3.8,3.46,2.1,103.3561,149020.0,2063.283,97.9,12.83,14143.9,91.35,2837.057
2018-08-31,2.86,2.62,1.91,251.663,3.8,3.49,2.1,104.0585,149279.0,2063.283,96.2,12.86,14193.6,121.46,2837.057
2018-09-30,3.05,2.81,1.95,252.182,3.7,3.28,2.5,104.1038,149358.0,2014.346,100.1,12.12,14229.1,83.77,2854.55
2018-10-31,3.15,2.87,2.19,252.772,3.8,3.81,2.5,103.9297,149526.0,2014.346,98.6,21.23,14241.1,79.07,2854.55
2018-11-30,3.01,2.8,2.2,252.594,3.8,4.29,2.5,104.0126,149617.0,2014.346,97.5,18.07,14260.5,136.43,2854.55
2018-12-31,2.69,2.48,2.27,252.767,3.9,5.33,0.6,104.0451,149809.0,2015.959,98.3,25.42,14382.3,149.82,2880.391
2019-01-31,2.63,2.45,2.4,252.561,4.0,4.37,0.6,103.3598,150059.0,2015.959,91.2,16.57,14445.7,126.24,2880.391
2019-02-28,2.73,2.52,2.4,253.319,3.8,3.92,0.6,102.8251,150065.0,2015.959,93.8,14.78,14480.8,125.24,2880.391
2019-03-31,2.41,2.27,2.41,254.277,3.8,4.05,2.5,102.8361,150295.0,2045.14,98.4,13.71,14525.9,134.75,2899.84
2019-04-30,2.51,2.27,2.42,255.233,3.7,3.73,2.5,102.2748,150593.0,2045.14,97.2,13.12,14554.2,75.34,2899.84
2019-05-31,2.14,1.95,2.39,255.296,3.6,4.59,2.5,102.4176,150621.0,2045.14,100.0,18.71,14652.0,94.35,2899.84
2019-06-30,2.0,1.75,2.38,255.213,3.6,4.07,3.4,102.5425,150839.0,2059.292,98.2,15.08,14771.0,114.41,2954.978
2019-07-31,2.02,1.89,2.4,255.802,3.7,3.93,3.4,102.0057,150936.0,2059.292,98.4,16.12,14853.1,103.01,2954.978
2019-08-31,1.5,1.5,2.13,256.036,3.6,4.13,3.4,102.7814,151171.0,2059.292,89.8,18.98,14934.3,135.02,2954.978
2019-09-30,1.68,1.63,2.04,256.43,3.5,4.02,4.8,102.4601,151365.0,2087.795,93.2,16.24,15031.0,113.0,2983.489
2019-10-31,1.69,1.52,1.83,257.155,3.6,4.15,4.8,101.5878,151460.0,2087.795,95.5,13.22,15166.9,133.29,2983.489
2019-11-30,1.78,1.61,1.55,257.879,3.6,4.02,4.8,102.1494,151668.0,2087.795,96.8,12.62,15276.4,41.19,2983.489
2019-12-31,1.92,1.58,1.55,258.63,3.6,3.6,2.8,101.9421,151795.0,2120.925,99.3,13.78,15347.6,105.75,2970.305
2020-01-31,1.51,1.33,1.55,259.127,3.6,4.03,2.8,101.3372,152031.0,2120.925,99.8,18.84,15416.3,122.2,2970.305
2020-02-29,1.13,0.86,1.58,259.25,3.5,5.06,2.8,101.6718,152292.0,2120.925,101.0,40.11,15466.6,225.32,2970.305
2020-03-31,0.7,0.23,0.65,258.076,4.4,8.77,-5.2,97.606,150895.0,2003.544,89.1,53.54,15993.4,516.55,2918.067
2020-04-30,0.64,0.2,0.05,256.032,14.8,7.63,-5.2,84.6812,130424.0,2003.544,71.8,34.15,17005.4,440.07,2918.067
2020-05-31,0.65,0.16,0.05,255.802,13.2,6.54,-5.2,86.0108,133040.0,2003.544,72.3,27.51,17852.9,557.19,2918.067
2020-06-30,0.66,0.16,0.08,257.042,11.0,6.44,-28.0,91.6745,137671.0,1858.309,78.1,30.43,18140.6,292.37,2681.079
2020-07-31,0.55,0.11,0.09,258.352,10.2,5.16,-28.0,95.0037,139255.0,1858.309,72.5,24.46,18297.7,384.08,2681.079
2020-08-31,0.72,0.14,0.1,259.316,8.4,5.02,-28.0,95.9294,140819.0,1858.309,74.1,26.41,18364.1,169.1,2681.079
2020-09-30,0.69,0.13,0.09,259.997,7.8,5.41,34.9,95.8914,141770.0,2556.227,80.4,26.37,18596.4,207.77,2796.634
2020-10-31,0.88,0.14,0.09,260.319,6.9,5.32,34.9,96.5256,142461.0,2556.227,81.8,38.02,18751.1,186.36,2796.634
2020-11-30,0.84,0.16,0.09,260.911,6.7,4.33,34.9,96.9529,142731.0,2556.227,76.9,20.57,18978.9,156.15,2796.634
2020-12-31,0.93,0.13,0.09,262.045,6.7,3.86,4.6,98.2039,142548.0,2429.379,80.7,22.75,19133.0,307.12,2875.442
2021-01-31,1.11,0.11,0.09,262.639,6.4,3.84,4.6,98.8135,142913.0,2429.379,79.0,33.09,19359.5,199.79,2875.442
2021-02-28,1.44,0.14,0.08,263.573,6.2,3.57,4.6,95.5072,143422.0,2429.379,76.8,27.95,19596.5,194.65,2875.442
2021-03-31,1.74,0.16,0.07,264.847,6.1,3.36,5.7,98.1929,144246.0,2683.406,84.9,19.4,19823.2,136.03,2939.916
2021-04-30,1.65,0.16,0.07,266.625,6.1,3.28,5.7,98.3317,144611.0,2683.406,88.3,18.61,20161.5,125.83,2939.916
2021-05-31,1.58,0.14,0.06,268.404,5.8,3.34,5.7,99.1867,145032.0,2683.406,82.9,16.76,20430.5,74.69,2939.916
2021-06-30,1.45,0.25,0.08,270.71,5.9,3.04,7.0,99.6483,145828.0,2984.5,85.5,15.83,20472.9,133.65,3010.859
2021-07-31,1.24,0.19,0.1,271.965,5.4,3.32,7.0,100.0668,146759.0,2984.5,81.2,18.24,20628.1,116.35,3010.859
2021-08-31,1.3,0.2,0.09,272.752,5.1,3.21,7.0,100.0412,147246.0,2984.5,70.3,16.48,20811.0,166.77,3010.859
2021-09-30,1.52,0.28,0.08,273.942,4.7,3.15,3.3,98.9955,147712.0,2972.607,72.8,23.14,20979.1,142.53,2999.341
2021-10-31,1.55,0.48,0.08,276.528,4.5,3.15,3.3,100.3542,148569.0,2972.607,71.7,16.26,21142.1,97.73,2999.341
2021-11-30,1.43,0.52,0.08,278.824,4.2,3.67,3.3,101.2684,149206.0,2972.607,67.4,27.19,21316.6,117.24,2999.341
2021-12-31,1.52,0.73,0.08,280.806,3.9,3.1,7.0,101.1948,149781.0,2951.199,70.6,17.22,21471.0,132.09,3022.081
2022-01-31,1.79,1.18,0.08,282.542,4.0,3.63,7.0,101.2146,150006.0,2951.199,67.2,24.83,21587.3,184.81,3022.081
2022-02-28,1.83,1.44,0.08,284.525,3.8,3.77,7.0,101.8458,150875.0,2951.199,62.8,30.15,21684.9,167.06,3022.081
2022-03-31,2.32,2.28,0.2,287.467,3.7,3.43,-1.0,102.6732,151346.0,2926.606,59.4,20.56,21721.3,81.85,3110.067
2022-04-30,2.89,2.7,0.33,288.582,3.7,3.97,-1.0,102.9024,151651.0,2926.606,65.2,33.4,21749.9,281.5,3110.067
2022-05-31,2.85,2.53,0.77,291.299,3.6,4.22,-1.0,102.9659,151892.0,2926.606,58.4,26.19,21690.7,72.9,3110.067
2022-06-30,2.98,2.92,1.21,295.072,3.6,5.87,0.6,102.8224,152353.0,3156.677,50.0,28.71,21642.8,158.37,3163.406
2022-07-31,2.67,2.89,1.68,294.94,3.5,4.83,0.6,103.0505,153049.0,3156.677,51.5,21.33,21641.7,118.84,3163.406
2022-08-31,3.15,3.45,2.33,295.162,3.6,5.03,0.6,103.1703,153286.0,3156.677,58.2,25.87,21606.8,126.46,3163.406
2022-09-30,3.83,4.22,2.56,296.421,3.5,5.43,2.9,103.5326,153513.0,3051.963,58.6,31.62,21521.0,192.84,3210.162
2022-10-31,4.1,4.51,3.08,297.979,3.6,4.63,2.9,103.4442,153913.0,3051.963,59.9,25.88,21424.4,161.13,3210.162
2022-11-30,3.68,4.38,3.78,298.708,3.6,4.55,2.9,103.1058,154210.0,3051.963,56.7,20.58,21358.1,89.9,3210.162
2022-12-31,3.88,4.41,4.1,298.808,3.5,4.81,2.8,101.8266,154336.0,2891.819,59.8,21.67,21219.0,162.78,3265.979
2023-01-31,3.52,4.21,4.33,300.456,3.5,4.3,2.8,102.7476,154780.0,2891.819,64.9,19.4,21205.2,158.19,3265.979
2023-02-28,3.92,4.81,4.57,301.476,3.6,4.22,2.8,102.8003,155086.0,2891.819,66.9,20.7,21184.5,88.38,3265.979
2023-03-31,3.48,4.06,4.65,301.643,3.5,4.58,2.9,102.8143,155171.0,3147.593,62.0,18.7,20876.1,144.99,3333.291
2023-04-30,3.44,4.04,4.83,302.858,3.4,4.53,2.9,103.2241,155387.0,3147.593,63.7,15.78,20729.8,209.08,3333.291
2023-05-31,3.64,4.4,5.06,303.316,3.6,4.69,2.9,102.9809,155614.0,3147.593,59.0,17.94,20801.1,264.79,3333.291
2023-06-30,3.81,4.87,5.08,304.099,3.6,4.05,2.5,102.3809,155871.0,3175.76,64.2,13.59,20782.7,96.85,3421.757
2023-07-31,3.97,4.88,5.12,304.615,3.5,3.79,2.5,103.0722,156019.0,3175.76,71.5,13.63,20772.1,81.19,3421.757
2023-08-31,4.09,4.85,5.33,306.138,3.7,3.85,2.5,103.0951,156176.0,3175.76,69.4,13.57,20746.9,167.14,3421.757
2023-09-30,4.59,5.03,5.33,307.374,3.8,4.03,4.7,103.3081,156334.0,3291.11,67.8,17.52,20720.4,113.8,3436.424
2023-10-31,4.88,5.07,5.33,307.653,3.9,4.42,4.7,102.5781,156520.0,3291.11,63.8,18.14,20687.3,42.38,3436.424
2023-11-30,4.37,4.73,5.33,308.087,3.7,3.84,4.7,102.8868,156661.0,3291.11,61.3,12.92,20696.7,147.72,3436.424
2023-12-31,3.88,4.23,5.33,308.735,3.8,3.39,3.4,102.6309,156930.0,3354.444,69.7,12.45,20701.3,221.29,3482.993
