,IVW,PDP,VYM,^SPX,SP5MV
2012-11-09,15.870729446411133,25.851564407348633,32.58372116088867,1379.8499755859375,4057.53
2012-11-12,15.890031814575195,25.937681198120117,32.53019714355469,1380.030029296875,4062.06
2012-11-13,15.842853546142578,25.94724464416504,32.43653106689453,1374.530029296875,4059.0
2012-11-14,15.643393516540527,25.487993240356445,31.99493980407715,1355.489990234375,4014.42
2012-11-15,15.611221313476562,25.37318992614746,31.907957077026367,1353.3299560546875,4006.67
2012-11-16,15.694866180419922,25.708051681518555,32.0484733581543,1359.8800048828125,4029.56
2012-11-19,16.016571044921875,26.195995330810547,32.536903381347656,1386.8900146484375,4087.22
2012-11-20,16.023006439208984,26.329946517944336,32.577030181884766,1387.81005859375,4091.41
2012-11-21,16.061609268188477,26.387348175048828,32.67740249633789,1391.030029296875,4102.52
2012-11-23,16.269649505615234,26.66480827331543,33.08551788330078,1409.1500244140625,4149.78
2012-11-26,16.25249481201172,26.636104583740234,32.998558044433594,1406.2900390625,4133.41
2012-11-27,16.1795654296875,26.463890075683594,32.851356506347656,1398.93994140625,4116.82
2012-11-28,16.299671173095703,26.62653923034668,33.125667572021484,1409.9300537109375,4150.68
2012-11-29,16.376880645751953,26.779619216918945,33.212650299072266,1415.949951171875,4166.27
2012-11-30,16.3640079498291,26.808324813842773,33.27287292480469,1416.1800537109375,4174.68
2012-12-03,16.2889461517334,26.693510055541992,33.09889602661133,1409.4599609375,4155.24
2012-12-04,16.25677490234375,26.62653923034668,33.06545639038086,1407.050048828125,4148.93
2012-12-05,16.21173858642578,26.597835540771484,33.22602081298828,1409.280029296875,4161.95
2012-12-06,16.28036880493164,26.731779098510742,33.27287292480469,1413.93994140625,4171.71
2012-12-07,16.293241500854492,26.76048469543457,33.44683074951172,1418.0699462890625,4182.68
2012-12-10,16.30825424194336,26.808324813842773,33.480281829833984,1418.550048828125,4184.12
2012-12-11,16.43907356262207,26.904001235961914,33.634159088134766,1427.8399658203125,4211.01
2012-12-12,16.419776916503906,26.85616111755371,33.66093063354492,1428.47998046875,4208.55
2012-12-13,16.312536239624023,26.693510055541992,33.48696517944336,1419.449951171875,4187.07
2012-12-14,16.213876724243164,26.569129943847656,33.413368225097656,1413.5799560546875,4172.65
2012-12-17,16.385459899902344,26.8657283782959,33.680992126464844,1430.3599853515625,4217.49
2012-12-18,16.563474655151367,27.085783004760742,33.93523406982422,1446.7900390625,4247.55
2012-12-19,16.444799423217773,26.96139907836914,33.66761779785156,1435.81005859375,4216.38
2012-12-20,16.498746871948242,27.066648483276367,33.83113098144531,1443.68994140625,4231.79
2012-12-21,16.36928939819336,26.86928939819336,33.560855865478516,1430.1500244140625,4196.85
2012-12-24,16.332599639892578,26.85003089904785,33.4324836730957,1426.6600341796875,4183.7
2012-12-26,16.23767852783203,26.638235092163086,33.29733657836914,1419.8299560546875,4157.93
2012-12-27,16.233360290527344,26.618982315063477,33.25680160522461,1418.0999755859375,4156.37
2012-12-28,16.04996681213379,26.407190322875977,32.8581657409668,1402.4300537109375,4112.08
2012-12-31,16.341243743896484,26.87891387939453,33.36491012573242,1426.18994140625,4172.14
2013-01-02,16.77706527709961,27.504680633544922,34.16221237182617,1462.4200439453125,4264.64
2013-01-03,16.73175621032715,27.446918487548828,34.10140609741211,1459.3699951171875,4254.95
2013-01-04,16.761959075927734,27.591323852539062,34.22978973388672,1466.469970703125,4271.3
2013-01-07,16.727441787719727,27.53356170654297,34.11492156982422,1461.8900146484375,4258.58
2013-01-08,16.70154571533203,27.48542022705078,33.98653030395508,1457.1500244140625,4246.2
2013-01-09,16.744701385498047,27.620210647583008,34.11492156982422,1461.02001953125,4260.46
2013-01-10,16.852577209472656,27.658708572387695,34.35816192626953,1472.1199951171875,4286.2
2013-01-11,16.867685317993164,27.677968978881836,34.371673583984375,1472.050048828125,4290.86
2013-01-14,16.82237434387207,27.687597274780273,34.43247604370117,1470.6800537109375,4293.62
2013-01-15,16.785703659057617,27.793489456176758,34.47976303100586,1472.3399658203125,4297.64
2013-01-16,16.81590461730957,27.726102828979492,34.398704528808594,1472.6300048828125,4288.11
2013-01-17,16.9151554107666,27.96678352355957,34.69598388671875,1480.93994140625,4313.05
2013-01-18,16.938879013061523,27.9571590423584,34.81085968017578,1485.97998046875,4329.06
2013-01-22,16.988496780395508,28.130447387695312,34.945987701416016,1492.56005859375,4352.05
2013-01-23,17.042436599731445,28.1015625,34.939239501953125,1494.81005859375,4355.94
2013-01-24,16.986343383789062,28.2459716796875,35.06087112426758,1494.8199462890625,4367.79
2013-01-25,17.066171646118164,28.419260025024414,35.256813049316406,1502.9599609375,4392.14
2013-01-28,17.04676628112793,28.28447723388672,35.22977828979492,1500.1800537109375,4385.33
2013-01-29,17.096378326416016,28.33261489868164,35.4932861328125,1507.8399658203125,4407.56
2013-01-30,17.03812599182129,28.149696350097656,35.358158111572266,1501.9599609375,4397.03
2013-01-31,16.986343383789062,28.149696350097656,35.25004959106445,1498.1099853515625,4396.41
2013-02-01,17.141685485839844,28.457765579223633,35.55409240722656,1513.1700439453125,4433.93
2013-02-04,16.938879013061523,28.207460403442383,35.223018646240234,1495.7099609375,4393.08
2013-02-05,17.122270584106445,28.438514709472656,35.50004959106445,1511.2900390625,4435.41
2013-02-06,17.133058547973633,28.544408798217773,35.56086730957031,1512.1199951171875,4442.64
2013-02-07,17.12442970275879,28.457765579223633,35.52707290649414,1509.3900146484375,4444.45
2013-02-08,17.24094009399414,28.640676498413086,35.62842559814453,1517.9300537109375,4461.83
