,VYM,IVW,DWA,SPX,CASH
2007-04-30,0.15430901837774297,0.12662879585353956,0.3434223627620689,0.3256398230066484,0.05
2007-07-31,0.2101477662141519,0.18110797114822358,0.2597318330334592,0.29901242960416535,0.05
2007-10-31,0.22859540180977858,0.19114092642152525,0.26872073940540914,0.261542932363287,0.05
2008-01-31,0.3494099687337172,0.2809554758493356,0.16883938730136888,0.1507951681155782,0.05
2008-04-30,0.2765440909241985,0.2899647702178185,0.17513459723470837,0.2083565416232745,0.05
2008-07-31,0.33057608213400347,0.2898196404454299,0.13423400608573066,0.19537027133483595,0.05
2008-10-31,0.38421968459017836,0.3344594963414633,0.12269894010653355,0.10862187896182474,0.05
2009-01-31,0.44757929088906784,0.21682965059638484,0.1607584446133323,0.12483261390121485,0.05
2009-04-30,0.44357931864592354,0.20273936038180115,0.16131054978759227,0.14237077118468303,0.05
2009-07-31,0.4222573000400938,0.20728128747926303,0.1955931067058635,0.12486830577477964,0.05
2009-10-31,0.31032654830424766,0.30265247899936576,0.1623982612858316,0.17462271141055488,0.05
2010-01-31,0.3194126457724424,0.37914932557723535,0.1239060398028655,0.12753198884745662,0.05
2010-04-30,0.22719101642717962,0.3510213674600137,0.178240020317468,0.19354759579533867,0.05
2010-07-31,0.31006705243776045,0.34119371018362704,0.16892506455318185,0.12981417282543067,0.05
2010-10-31,0.3418183650633147,0.3066597041442793,0.1778184040213757,0.12370352677103026,0.05
2011-01-31,0.2944525415743133,0.28814836174708974,0.19506861814383164,0.1723304785347653,0.05
2011-04-30,0.24692237893574623,0.25621252784620013,0.23056527186357062,0.21629982135448309,0.05
2011-07-31,0.33485965042838306,0.3040087295153224,0.20709115072379342,0.10404046933250105,0.05
2011-10-31,0.3016806997597869,0.2784247548441169,0.21428523354163626,0.1556093118544599,0.05
2012-01-31,0.28135388864452093,0.24869900680795495,0.23345698509462084,0.18649011945290325,0.05
2012-04-30,0.2825811890961267,0.2659233185431639,0.22683316705201598,0.17466232530869347,0.05
2012-07-31,0.33205617640229307,0.23974196906524994,0.20900967428866535,0.16919218024379162,0.05
2012-10-31,0.3185178553532655,0.2610192882616645,0.20194117308608642,0.1685216832989836,0.05
2013-01-31,0.24223253348605484,0.2724692367959558,0.2356377044959238,0.19966052522206557,0.05
2013-04-30,0.2987825899737445,0.1779544384956227,0.24090616967981046,0.2323568018508222,0.05
2013-07-31,0.21637428597000005,0.24465484427334117,0.238185115973736,0.2507857537829228,0.05
2013-10-31,0.21884178061199033,0.22721467998265285,0.2518717001523442,0.25207183925301246,0.05
2014-01-31,0.26603086272733867,0.25629515623852367,0.1918257625880328,0.23584821844610473,0.05
2014-04-30,0.15474340189989727,0.2604407986048929,0.2566530522955932,0.2781627471996167,0.05
2014-07-31,0.17721777975458314,0.29505574506762416,0.2497989368964907,0.227927538281302,0.05
2014-10-31,0.2358114892230703,0.27039511650762516,0.2164216758930865,0.2273717183762181,0.05
2015-01-31,0.2525494187516459,0.21476901497954334,0.22299046097545847,0.2596911052933523,0.05
2015-04-30,0.24075610384783788,0.1987647516115005,0.21610261385311372,0.2943765306875478,0.05
2015-07-31,0.25938535271972474,0.18591592593341838,0.19915507031333352,0.3055436510335233,0.05
2015-10-31,0.30207102386896223,0.17472957650642823,0.18053019862003353,0.2926692010045759,0.05
2016-01-31,0.3242118545833162,0.18651896167794738,0.17252500815899666,0.26674417557973984,0.05
2016-04-30,0.3024461556292063,0.1669503951477679,0.19383565405682418,0.28676779516620154,0.05
2016-07-31,0.27275541405361275,0.1620799534688671,0.24156742285812122,0.2735972096193989,0.05
2016-10-31,0.27393635599053673,0.21627781583824485,0.21592285206127135,0.243862976109947,0.05
2017-01-31,0.2098405187002064,0.2317533623731812,0.24816346888165416,0.2602426500449582,0.05
2017-04-30,0.20755370619484736,0.22369697078171139,0.2647641620354596,0.2539851609879816,0.05
2017-07-31,0.18370609291595424,0.2035656609715825,0.2593847443150171,0.30334350179744624,0.05
2017-10-31,0.15271946683418622,0.1987297163896059,0.26713201978431844,0.3314187969918893,0.05
2018-01-31,0.1738036548503262,0.17475322032714175,0.2735244163776015,0.32791870844493065,0.05
2018-04-30,0.20271304890711137,0.1837864334316598,0.25618165607870536,0.3073188615825234,0.05
2018-07-31,0.1717823416872002,0.19540308102943968,0.26937223432542545,0.3134423429579346,0.05
2018-10-31,0.2432663988353384,0.17210980558253053,0.22602834261737115,0.3085954529647598,0.05
2019-01-31,0.24382639491598473,0.20261089963292608,0.21458791571014593,0.28897478974094315,0.05
2019-04-30,0.18589809226741885,0.1735574545229163,0.2453617172240123,0.3451827359856526,0.05
2019-07-31,0.19740828824973913,0.17422545568154532,0.2454230931557828,0.33294316291293263,0.05
2019-10-31,0.22906852835499011,0.17568241393634845,0.2543596419098825,0.29088941579877886,0.05
2020-01-31,0.28089799596879095,0.17986458939796146,0.22665150363284697,0.2625859110004006,0.05
2020-04-30,0.45293039430118415,0.18439767710581415,0.18533749526947985,0.12733443332352176,0.05
2020-07-31,0.288168782452132,0.18665887402469508,0.25852598513631375,0.2166463583868592,0.05
2020-10-31,0.2725648952009007,0.26503780248775205,0.21473135222887615,0.1976659500824711,0.05
2021-01-31,0.2242061548799044,0.2749214846585271,0.25184231669549967,0.19903004376606895,0.05
2021-04-30,0.14798954983272689,0.27760166265302694,0.29603755889904365,0.2283712286152025,0.05
2021-07-31,0.18608579600756073,0.25585383202466855,0.28239401914467194,0.22566635282309863,0.05
