,IVW,PDP,VFLQ,VYM,^SPX,SP5MV
2012-11-30,16.364009857177734,26.80832290649414,,33.27286911010742,1416.1800537109375,4174.68
2012-12-31,16.34124183654785,26.87891960144043,,33.364906311035156,1426.18994140625,4172.14
2013-01-31,16.986351013183594,28.149702072143555,,35.250057220458984,1498.1099853515625,4396.41
2013-02-28,17.187000274658203,28.5251522064209,,35.97978973388672,1514.6800537109375,4454.9
2013-03-31,17.8447265625,29.767051696777344,,37.281192779541016,1569.18994140625,4649.74
2013-04-30,18.206485748291016,30.566099166870117,,38.40350341796875,1597.5699462890625,4750.13
2013-05-31,18.626712799072266,30.662376403808594,,38.68238067626953,1630.739990234375,4751.46
2013-06-30,18.269554138183594,30.109529495239258,,38.629669189453125,1606.280029296875,4704.1
2013-07-31,19.235118865966797,31.681049346923828,,40.35660171508789,1685.72998046875,4916.21
2013-08-31,18.782777786254883,30.986879348754883,,38.78044509887695,1632.969970703125,4752.82
2013-09-30,19.510631561279297,32.66790771484375,,39.691436767578125,1681.550048828125,4873.45
2013-10-31,20.432018280029297,33.48822784423828,,41.57625198364258,1756.5400390625,5066.14
2013-11-30,20.984405517578125,34.58842086791992,,42.53591537475586,1805.81005859375,5151.79
2013-12-31,21.65275764465332,35.394927978515625,,43.40067672729492,1848.3599853515625,5212.77
2014-01-31,21.016881942749023,34.7188835144043,,41.6666145324707,1782.5899658203125,5027.72
2014-02-28,22.113224029541016,36.8145751953125,,43.17084884643555,1859.449951171875,5233.74
2014-03-31,21.96308135986328,35.97438049316406,,44.24147415161133,1872.3399658203125,5308.2
2014-04-30,21.998279571533203,35.67498016357422,,45.17369079589844,1883.949951171875,5354.02
2014-05-31,22.719825744628906,37.04636001586914,,45.88862228393555,1923.5699462890625,5421.5
2014-06-30,23.222675323486328,37.674095153808594,,46.81670379638672,1960.22998046875,5487.59
2014-07-31,22.929058074951172,36.75663757324219,,46.03313446044922,1930.6700439453125,5430.0
2014-08-31,23.902647018432617,38.813690185546875,,47.76264953613281,2003.3699951171875,5597.39
2014-09-30,23.664047241210938,38.023101806640625,,47.20539093017578,1972.2900390625,5545.88
2014-10-31,24.321996688842773,39.02906036376953,,48.37112808227539,2018.050048828125,5710.99
2014-11-30,25.077425003051758,40.18010711669922,,49.835411071777344,2067.56005859375,5872.72
2014-12-31,24.8228816986084,39.7158203125,,49.276859283447266,2058.89990234375,5856.11
2015-01-31,24.41139030456543,39.60942459106445,,47.8576774597168,1994.989990234375,5804.31
2015-02-28,25.870513916015625,41.776084899902344,,50.201480865478516,2104.5,6018.73
2015-03-31,25.43108558654785,42.05281448364258,,49.281978607177734,2067.889892578125,5952.05
2015-04-30,25.556068420410156,41.08452224731445,,50.11896514892578,2085.510009765625,5933.68
2015-05-31,26.00911521911621,41.91725158691406,,50.306575775146484,2107.389892578125,5973.71
2015-06-30,25.497915267944336,41.745697021484375,,48.97172927856445,2063.110107421875,5831.42
2015-07-31,26.438472747802734,42.75394821166992,,49.48821258544922,2103.840087890625,6047.87
2015-08-31,24.81489372253418,40.272090911865234,,46.68753433227539,1972.1800537109375,5773.39
2015-09-30,24.24258804321289,38.983795166015625,,45.95899963378906,1920.030029296875,5650.94
2015-10-31,26.53415870666504,41.516090393066406,,49.82497024536133,2079.360107421875,6068.19
2015-11-30,26.579137802124023,41.244422912597656,,49.93502426147461,2080.409912109375,5999.2
2015-12-31,26.153526306152344,40.16347885131836,,49.41510772705078,2043.93994140625,5982.9
2016-01-31,24.800682067871094,37.2509765625,,48.023338317871094,1940.239990234375,5926.57
2016-02-29,24.617738723754883,37.61019515991211,,48.26762390136719,1932.22998046875,6047.44
2016-03-31,26.27169418334961,39.59069061279297,,51.470455169677734,2059.739990234375,6368.18
2016-04-30,25.961122512817383,39.309146881103516,,51.84321212768555,2065.300048828125,6339.74
2016-05-31,26.623077392578125,40.38677215576172,,52.566349029541016,2096.949951171875,6393.13
2016-06-30,26.54035758972168,40.97297286987305,,53.71192169189453,2098.860107421875,6698.14
2016-07-31,27.765161514282227,41.90727615356445,,54.974674224853516,2173.60009765625,6811.19
2016-08-31,27.66954803466797,41.634769439697266,,54.80929946899414,2170.949951171875,6658.06
2016-09-30,27.789926528930664,41.316776275634766,,54.58597946166992,2168.27001953125,6640.26
2016-10-31,27.207448959350586,40.137969970703125,,53.88985824584961,2126.14990234375,6493.22
2016-11-30,27.536375045776367,40.86863708496094,,56.167423248291016,2198.81005859375,6519.79
2016-12-31,27.935550689697266,41.10479736328125,,57.833744049072266,2238.830078125,6637.87
2017-01-31,28.75213050842285,41.975830078125,,57.81083297729492,2278.8701171875,6656.39
2017-02-28,29.921947479248047,44.15830612182617,,59.87931823730469,2363.639892578125,6899.25
2017-03-31,30.26883888244629,44.32467269897461,,59.6976318359375,2362.719970703125,6853.61
2017-04-30,30.864919662475586,44.853179931640625,,59.6515007019043,2384.199951171875,6878.46
2017-05-31,31.7348690032959,45.78291702270508,,59.866764068603516,2411.800048828125,6977.83
2017-06-30,31.606624603271484,45.876792907714844,,60.54645919799805,2423.409912109375,6944.01
2017-07-31,32.4311408996582,46.96443176269531,,61.52250289916992,2470.300048828125,7048.99
2017-08-31,32.895381927490234,47.503353118896484,,61.41407775878906,2471.64990234375,6990.01
2017-09-30,33.24958419799805,47.716346740722656,,63.26853561401367,2519.360107421875,7059.46
2017-10-31,34.343841552734375,49.80718231201172,,64.36891174316406,2575.260009765625,7215.82
2017-11-30,35.28740692138672,51.00474166870117,,66.34336853027344,2647.580078125,7536.07
2017-12-31,35.537906646728516,50.680816650390625,,67.32962036132812,2673.610107421875,7594.27
2018-01-31,38.0734977722168,53.910335540771484,,70.09735107421875,2823.81005859375,7817.19
2018-02-28,37.28955078125,51.93730163574219,76.7699966430664,66.78709411621094,2713.830078125,7546.21
2018-03-31,36.17805099487305,51.701690673828125,76.68000030517578,65.35160064697266,2640.8701171875,7409.99
2018-04-30,36.26670837402344,51.701690673828125,78.26000213623047,65.43873596191406,2648.050048828125,7414.99
2018-05-31,37.8321418762207,54.391319274902344,80.55000305175781,66.48448181152344,2705.27001953125,7508.29
2018-06-30,38.04922103881836,54.35563278198242,80.77030181884766,66.29204559326172,2718.3701171875,7574.47
2018-07-31,39.352542877197266,55.190513610839844,81.8499984741211,69.0059585571289,2816.2900390625,7799.61
2018-08-31,41.243194580078125,58.755950927734375,84.6780014038086,69.77225494384766,2901.52001953125,8029.89
2018-09-30,41.566871643066406,58.536964416503906,83.04000091552734,70.05101013183594,2913.97998046875,8066.76
2018-10-31,38.21421432495117,52.06342315673828,76.37999725341797,66.97037506103516,2711.739990234375,7625.41
2018-11-30,38.74442672729492,52.47600173950195,78.22000122070312,69.35124969482422,2760.169921875,7770.6
2018-12-31,35.464046478271484,47.6576042175293,69.4749984741211,63.34210205078125,2506.85009765625,7069.52
2019-01-31,38.08846664428711,51.620052337646484,76.80000305175781,67.20812225341797,2704.10009765625,7573.76
2019-02-28,39.64902877807617,54.09782028198242,80.8499984741211,69.74212646484375,2784.489990234375,7832.35
2019-03-31,40.708465576171875,55.7299919128418,79.56999969482422,70.10725402832031,2834.39990234375,7998.02
2019-04-30,42.31450653076172,57.804630279541016,82.58519744873047,72.0960464477539,2945.830078125,8298.2
2019-05-31,40.08729553222656,56.00529098510742,77.70059967041016,67.5455322265625,2752.06005859375,7915.74
2019-06-30,42.513160705566406,59.35496139526367,82.74629974365234,72.03351593017578,2941.760009765625,8380.49
2019-07-31,43.01836395263672,60.712886810302734,83.81659698486328,72.55287170410156,2980.3798828125,8505.36
2019-08-31,42.68866729736328,61.224571228027344,80.90489959716797,71.02780151367188,2926.4599609375,8525.26
2019-09-30,42.84675598144531,59.99189376831055,82.59989929199219,73.79464721679688,2976.739990234375,8650.92
2019-10-31,43.582176208496094,60.10025405883789,83.47750091552734,74.5680923461914,3037.56005859375,8666.81
2019-11-30,45.072044372558594,62.484161376953125,86.47370147705078,76.31462860107422,3140.97998046875,8858.73
2019-12-31,46.37594223022461,63.44657897949219,89.1084976196289,78.58438873291016,3230.780029296875,9151.86
2020-01-31,47.42493438720703,65.004150390625,86.39739990234375,76.61369323730469,3225.52001953125,9164.74
2020-02-29,44.201316833496094,60.60746383666992,78.34200286865234,69.18376159667969,2954.219970703125,8403.11
2020-03-31,39.65510177612305,53.2743034362793,62.69430160522461,59.76045608520508,2584.590087890625,7337.59
2020-04-30,45.30604934692383,59.879295349121094,71.13249969482422,65.89276123046875,2912.429931640625,8137.57
2020-05-31,48.0065803527832,65.73395538330078,74.25189971923828,67.75950622558594,3044.31005859375,8478.92
2020-06-30,49.968257904052734,66.51806640625,74.72799682617188,67.24234771728516,3100.2900390625,8497.33
2020-07-31,53.53002166748047,72.49334716796875,76.63020324707031,69.30791473388672,3271.1201171875,8888.07
2020-08-31,58.58247756958008,76.71060180664062,80.0947036743164,71.51860046386719,3500.31005859375,9265.67
2020-09-30,55.782806396484375,75.50566864013672,76.64029693603516,69.67269134521484,3363.0,9077.5
2020-10-31,54.23783874511719,74.4884033203125,77.69830322265625,68.47603607177734,3269.9599609375,8816.89
2020-11-30,59.394161224365234,82.61673736572266,89.27670288085938,76.86980438232422,3621.6298828125,9491.7
2020-12-31,61.76753234863281,86.66608428955078,94.09290313720703,79.48419189453125,3756.070068359375,9730.13
2021-01-31,61.46750259399414,84.56239318847656,94.55999755859375,79.03250885009766,3714.239990234375,9486.64
2021-02-28,61.40943145751953,85.88584899902344,101.79299926757812,82.64585876464844,3811.14990234375,9443.1
2021-03-31,63.11213302612305,84.07846069335938,105.76740264892578,88.38316345214844,3972.889892578125,10015.85
2021-04-30,67.42557525634766,86.43892669677734,109.69000244140625,90.63886260986328,4181.169921875,10457.33
2021-05-31,66.8246078491211,85.4611587524414,110.88999938964844,93.38418579101562,4204.10986328125,10483.75
2021-06-30,70.58383178710938,88.51299285888672,110.72160339355469,92.27645874023438,4297.5,10640.45
2021-07-31,73.252685546875,90.42902374267578,110.59149932861328,92.78730773925781,4395.259765625,10935.95
